d,irr_frac,0,1,2,3,4,5,6,m,s
2,1,303,88,11,1,0,0,0,403,113
2,0.875,362,83,13,0,1,0,0,459,113
2,0.75,436,58,12,2,0,0,0,508,88
2,0.5,452,43,7,3,0,0,0,505,66
2,0.25,676,21,4,0,0,0,0,701,29
2,0.125,488,11,1,0,0,0,0,500,13
3,1,105,72,25,2,1,0,0,205,132
3,0.875,201,63,19,2,0,0,0,285,107
3,0.75,255,59,17,3,1,0,0,335,106
3,0.5,487,39,15,4,0,0,0,545,81
3,0.25,493,23,3,1,1,0,0,521,36
3,0.125,498,9,3,0,0,0,0,510,15
4,1,71,73,41,16,3,0,0,204,215
4,0.875,75,42,20,7,2,0,0,146,111
4,0.75,113,44,17,8,3,0,0,185,114
4,0.5,260,38,21,8,0,1,0,328,109
4,0.25,457,29,11,2,1,0,0,500,61
4,0.125,480,16,9,0,1,0,0,506,38
5,1,31,66,64,24,13,2,0,200,328
5,0.875,82,48,39,20,8,1,1,199,229
5,0.75,167,19,18,12,5,1,0,222,116
5,0.5,296,24,20,12,3,1,0,356,117
5,0.25,480,8,9,7,1,1,0,506,56
5,0.125,484,6,3,4,0,1,0,498,29
