"","irr_frac","simulation","design","nsim","dose","sd"
"1","1","np","classical","10000","0",0.0273651699028177
"2","1","np","qca1","10000","0",0.0225712140601454
"3","1","np","qD","10000","0",0.036058703968727
"4","1","np","qI50","10000","0",0.0386919865085246
"5","1","np","qI500","10000","0",0.0389258573874836
"6","1","np","classical","10000","0.1",0.0486832885457881
"7","1","np","qca1","10000","0.1",0.0426183122171746
"8","1","np","qD","10000","0.1",0.0627584014407452
"9","1","np","qI50","10000","0.1",0.0645635194101201
"10","1","np","qI500","10000","0.1",0.0652970239665638
"11","1","np","classical","10000","0.25",0.0877107084323852
"12","1","np","qca1","10000","0.25",0.0821702598853014
"13","1","np","qD","10000","0.25",0.094193690122673
"14","1","np","qI50","10000","0.25",0.0941330330920105
"15","1","np","qI500","10000","0.25",0.0940035372220223
"16","1","np","classical","10000","0.5",0.0921228217098569
"17","1","np","qca1","10000","0.5",0.0869153889416777
"18","1","np","qD","10000","0.5",0.0935355939360091
"19","1","np","qI50","10000","0.5",0.0913292430474214
"20","1","np","qI500","10000","0.5",0.091085604517106
"21","1","np","classical","10000","0.75",0.091714270179342
"22","1","np","qca1","10000","0.75",0.088767797495559
"23","1","np","qD","10000","0.75",0.0915362792476941
"24","1","np","qI50","10000","0.75",0.0920963949816712
"25","1","np","qI500","10000","0.75",0.0904918859463486
"26","1","np","classical","10000","1",0.0934836776922049
"27","1","np","qca1","10000","1",0.0892951850720223
"28","1","np","qD","10000","1",0.0912982540556658
"29","1","np","qI50","10000","1",0.0901267502123265
"30","1","np","qI500","10000","1",0.0896264629664234
"31","1","np","classical","10000","1.5",0.0970103086789046
"32","1","np","qca1","10000","1.5",0.0907479613962366
"33","1","np","qD","10000","1.5",0.0913161409906364
"34","1","np","qI50","10000","1.5",0.0904528902927585
"35","1","np","qI500","10000","1.5",0.0915833175716933
"36","1","np","classical","10000","2",0.0999992102399013
"37","1","np","qca1","10000","2",0.0926432522191604
"38","1","np","qD","10000","2",0.0907312180022519
"39","1","np","qI50","10000","2",0.0912921361851735
"40","1","np","qI500","10000","2",0.0891213986399507
"41","1","np","classical","10000","3",0.112818672790301
"42","1","np","qca1","10000","3",0.0925196822161637
"43","1","np","qD","10000","3",0.0892282235967935
"44","1","np","qI50","10000","3",0.0892360780013607
"45","1","np","qI500","10000","3",0.0884939186469095
"46","1","np","classical","10000","4",0.132149208401334
"47","1","np","qca1","10000","4",0.0958494249235791
"48","1","np","qD","10000","4",0.0897880479912115
"49","1","np","qI50","10000","4",0.0896319039492747
"50","1","np","qI500","10000","4",0.0884075661716119
"51","1","np","classical","10000","5",0.155464003215932
"52","1","np","qca1","10000","5",0.0935988379036603
"53","1","np","qD","10000","5",0.0828147100105433
"54","1","np","qI50","10000","5",0.081753754482855
"55","1","np","qI500","10000","5",0.0830389682932014
"56","0.875","np","classical","10000","2",0.259515318011559
"57","0.875","np","qca1","10000","2",0.255413729401317
"58","0.875","np","qD","10000","2",0.249796680176904
"59","0.875","np","qI50","10000","2",0.248291317543374
"60","0.875","np","qI500","10000","2",0.246979062133669
"61","0.875","np","classical","10000","3",0.212682247651231
"62","0.875","np","qca1","10000","3",0.203920884235513
"63","0.875","np","qD","10000","3",0.199569520642366
"64","0.875","np","qI50","10000","3",0.197902502000194
"65","0.875","np","qI500","10000","3",0.199199348727293
"66","0.875","np","classical","10000","4",0.188387617219464
"67","0.875","np","qca1","10000","4",0.166574117523952
"68","0.875","np","qD","10000","4",0.158799981080567
"69","0.875","np","qI50","10000","4",0.157673578614474
"70","0.875","np","qI500","10000","4",0.157508595431452
"71","0.875","np","classical","10000","5",0.185664071770136
"72","0.875","np","qca1","10000","5",0.144640315038732
"73","0.875","np","qD","10000","5",0.134632472747452
"74","0.875","np","qI50","10000","5",0.133585035538516
"75","0.875","np","qI500","10000","5",0.13558928779812
"76","0.75","np","classical","10000","2",0.331482232941301
"77","0.75","np","qca1","10000","2",0.330014663389226
"78","0.75","np","qD","10000","2",0.318517178790154
"79","0.75","np","qI50","10000","2",0.316055604587795
"80","0.75","np","qI500","10000","2",0.321942082486099
"81","0.75","np","classical","10000","3",0.264907883665735
"82","0.75","np","qca1","10000","3",0.256260694301971
"83","0.75","np","qD","10000","3",0.248526883937513
"84","0.75","np","qI50","10000","3",0.2475657954074
"85","0.75","np","qI500","10000","3",0.245301160267176
"86","0.75","np","classical","10000","4",0.21633437354663
"87","0.75","np","qca1","10000","4",0.195834556016431
"88","0.75","np","qD","10000","4",0.185286674329406
"89","0.75","np","qI50","10000","4",0.185522529035565
"90","0.75","np","qI500","10000","4",0.187640917871794
"91","0.75","np","classical","10000","5",0.240166546696839
"92","0.75","np","qca1","10000","5",0.201081099769933
"93","0.75","np","qD","10000","5",0.190011914467287
"94","0.75","np","qI50","10000","5",0.190024616282769
"95","0.75","np","qI500","10000","5",0.190516838926222
"96","0.5","np","classical","10000","2",0.422772458282497
"97","0.5","np","qca1","10000","2",0.413713599716117
"98","0.5","np","qD","10000","2",0.406745511877148
"99","0.5","np","qI50","10000","2",0.406115644767756
"100","0.5","np","qI500","10000","2",0.401596116089786
"101","0.5","np","classical","10000","3",0.360368664772877
"102","0.5","np","qca1","10000","3",0.348616909153781
"103","0.5","np","qD","10000","3",0.334206432597554
"104","0.5","np","qI50","10000","3",0.337799851764838
"105","0.5","np","qI500","10000","3",0.332675965055116
"106","0.5","np","classical","10000","4",0.265406397141296
"107","0.5","np","qca1","10000","4",0.250796155193276
"108","0.5","np","qD","10000","4",0.236971906184156
"109","0.5","np","qI50","10000","4",0.238690628189979
"110","0.5","np","qI500","10000","4",0.242395678866753
"111","0.5","np","classical","10000","5",0.277565864002496
"112","0.5","np","qca1","10000","5",0.249848492050221
"113","0.5","np","qD","10000","5",0.238253902428493
"114","0.5","np","qI50","10000","5",0.240652669126644
"115","0.5","np","qI500","10000","5",0.239684219111384
