irr_frac,simulation,design,nsim,dose,sd
1,ps,ca1,10000,0,0.026658464
1,ps,classical,10000,0,0.025698963
1,ps,D,10000,0,0.026168684
1,ps,I50,10000,0,0.027383854
1,ps,I500,10000,0,0.027894055
1,ps,ca1,10000,0.1,0.065680664
1,ps,classical,10000,0.1,0.065378976
1,ps,D,10000,0.1,0.064900723
1,ps,I50,10000,0.1,0.066124878
1,ps,I500,10000,0.1,0.066286563
1,ps,ca1,10000,0.25,0.083328258
1,ps,classical,10000,0.25,0.083091736
1,ps,D,10000,0.25,0.084066819
1,ps,I50,10000,0.25,0.084524567
1,ps,I500,10000,0.25,0.084381476
1,ps,ca1,10000,0.5,0.091110484
1,ps,classical,10000,0.5,0.092211987
1,ps,D,10000,0.5,0.092364419
1,ps,I50,10000,0.5,0.090912457
1,ps,I500,10000,0.5,0.091764802
1,ps,ca1,10000,0.75,0.092421947
1,ps,classical,10000,0.75,0.09307846
1,ps,D,10000,0.75,0.093609
1,ps,I50,10000,0.75,0.093161077
1,ps,I500,10000,0.75,0.092884841
1,ps,ca1,10000,1,0.094982152
1,ps,classical,10000,1,0.094420317
1,ps,D,10000,1,0.095202351
1,ps,I50,10000,1,0.093895701
1,ps,I500,10000,1,0.094245113
1,ps,ca1,10000,1.5,0.094891337
1,ps,classical,10000,1.5,0.096480338
1,ps,D,10000,1.5,0.095380028
1,ps,I50,10000,1.5,0.094477849
1,ps,I500,10000,1.5,0.093790969
1,ps,ca1,10000,2,0.095587051
1,ps,classical,10000,2,0.100744557
1,ps,D,10000,2,0.095740321
1,ps,I50,10000,2,0.094610443
1,ps,I500,10000,2,0.094123919
1,ps,ca1,10000,3,0.095148062
1,ps,classical,10000,3,0.114019192
1,ps,D,10000,3,0.09571779
1,ps,I50,10000,3,0.095302365
1,ps,I500,10000,3,0.094709283
1,ps,ca1,10000,4,0.0989972
1,ps,classical,10000,4,0.135830399
1,ps,D,10000,4,0.096491934
1,ps,I50,10000,4,0.094481047
1,ps,I500,10000,4,0.094444444
1,ps,ca1,10000,5,0.104160343
1,ps,classical,10000,5,0.15932236
1,ps,D,10000,5,0.097753093
1,ps,I50,10000,5,0.096845272
1,ps,I500,10000,5,0.096575603
